Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,64.849998,65.949997,63.500000,63.849998,59.748863,367400
2016-11-08,64.550003,65.599998,64.150002,64.400002,60.263542,302400
2016-11-09,57.650002,58.500000,54.500000,55.099998,51.560879,1688100
2016-11-10,56.049999,56.099998,48.000000,48.450001,45.338024,1986600
2016-11-11,49.500000,50.700001,47.150002,47.500000,44.449036,1254600
2016-11-14,48.099998,50.849998,47.200001,50.750000,47.490303,1325000
2016-11-15,52.900002,53.360001,51.950001,52.650002,49.268250,829300
2016-11-16,52.500000,52.730000,51.500000,52.349998,49.371994,328800
2016-11-17,52.349998,54.400002,52.349998,53.049999,50.032169,370100
2016-11-18,53.450001,54.000000,52.650002,53.200001,50.173641,259100
2016-11-21,53.349998,53.700001,52.509998,53.000000,49.985020,293200
2016-11-22,53.000000,53.349998,52.500000,53.299999,50.267952,255200
2016-11-23,53.099998,53.459999,52.110001,52.500000,49.513462,250800
2016-11-25,52.549999,53.349998,52.299999,52.500000,49.513462,164400
2016-11-28,52.400002,53.349998,51.400002,53.049999,50.032169,355700
2016-11-29,52.849998,54.799999,52.750000,53.400002,50.362267,392600
2016-11-30,53.349998,53.549999,51.299999,51.400002,48.476040,304400
2016-12-01,51.349998,53.599998,51.000000,53.299999,50.267952,539100
2016-12-02,52.400002,52.400002,50.000000,50.250000,47.391457,931900
2016-12-05,50.650002,50.950001,49.950001,50.799999,47.910168,411000
2016-12-06,50.650002,50.750000,50.000000,50.650002,47.768707,414300
2016-12-07,50.549999,51.049999,50.150002,50.549999,47.674389,228900
2016-12-08,50.349998,52.000000,50.349998,51.650002,48.711815,286900
2016-12-09,51.549999,52.400002,51.459999,51.900002,48.947594,220200
2016-12-12,51.650002,52.450001,51.259998,51.799999,48.853287,263900
2016-12-13,52.049999,52.360001,51.299999,51.750000,48.806129,215100
2016-12-14,51.799999,52.820000,51.349998,51.549999,48.617504,308800
2016-12-15,51.500000,52.299999,51.330002,51.849998,48.900436,318800
2016-12-16,51.849998,53.549999,51.799999,53.450001,50.409416,1496800
2016-12-19,53.400002,53.549999,52.650002,52.849998,49.843544,370600
2016-12-20,53.000000,54.000000,52.849998,53.500000,50.456573,254000
2016-12-21,53.750000,53.799999,53.099998,53.549999,50.503727,203700
2016-12-22,53.400002,53.650002,52.950001,53.299999,50.267952,181000
2016-12-23,53.500000,54.150002,53.250000,54.049999,50.975285,153900
2016-12-27,54.099998,54.099998,52.950001,53.849998,50.786671,290600
2016-12-28,53.700001,53.750000,52.520000,52.849998,49.843544,215100
2016-12-29,52.849998,53.299999,52.299999,52.750000,49.749241,162100
2016-12-30,52.750000,53.599998,52.450001,52.700001,49.702087,221200
2017-01-03,52.900002,53.549999,52.599998,53.450001,50.409416,225500
2017-01-04,53.450001,53.950001,52.250000,52.900002,49.890709,382000
2017-01-05,53.150002,54.250000,52.750000,54.099998,51.022442,230800
2017-01-06,54.099998,54.450001,53.650002,54.150002,51.069595,299900
2017-01-09,54.299999,54.450001,52.950001,53.049999,50.032169,223400
